,Unnamed: 0,time,purchase_id,productName,productPrice,productQuantity,id
79,79,2019-03-23T00:10:31,113-7531419-6094616,Organic Low-Fat Cottage Cheese,3.99,1,purchase_81
80,80,2019-03-23T00:10:31,113-7531419-6094616,Herring in Cream Sauce,5.99,1,purchase_82
81,81,2019-03-23T00:10:31,113-7531419-6094616,Organic Baby Gold Beets Bunch,1.99,1,purchase_83
82,82,2019-03-23T00:10:31,113-7531419-6094616,Russet Potato,2.34,1,purchase_84
83,83,2019-03-23T00:10:31,113-7531419-6094616,Peach Yoghurt,2.29,2,purchase_85
84,84,2019-03-23T00:10:31,113-7531419-6094616,Organic Mango Chunks,2.79,2,purchase_86
85,85,2019-03-23T00:10:31,113-7531419-6094616,Sauvignon Blanc,11.99,1,purchase_87
86,86,2019-03-23T00:10:31,113-7531419-6094616,Organic Brussels Sprouts,3.99,1,purchase_88
87,87,2019-03-23T00:10:31,113-7531419-6094616,Sliced Genoa Salami,5.79,1,purchase_89
88,88,2019-03-23T00:10:31,113-7531419-6094616,Organic Cowboy Boneless Chicken Thighs,6.99,2,purchase_90
89,89,2019-03-21T19:50:31,113-1917712-3086608,"Amazon Basics 30% Recycled Multipurpose Copy Printer Paper - 8.5 x 11 Inches, 3 Ream Case (1500 Sheets)",19.99,1,purchase_91
90,90,2019-03-18T05:34:06,113-9805914-6727453,Pudolla Men's Cotton Yoga Sweatpants Athletic Lounge Pants Open Bottom Casual Jersey Pants for Men with Pockets (Olive Medium),28.89,1,purchase_92
91,91,2019-03-13T19:10:03,113-2797013-8844240,"TERRO T300B Liquid Ant Killer, 12 Bait Stations",9.68,2,purchase_93
92,92,2019-03-12T01:19:50,113-2188680-2881009,"BYD CARE KN95 Respirator, 50 Pieces, Breathable & Comfortable Foldable Safety Mask with Ear Loop for Tight Fit, GB2626",26.99,2,purchase_94
93,93,2019-03-06T01:22:33,113-8577782-4677020,"Kate Aspen 9 oz. Stemless Wine Glass (Set of 12)| Kitchen Drinking Glass or DIY Party Favor, Clear, One Size, (30009NA-x12)",26.14,1,purchase_95
94,94,2019-03-04T20:28:21,113-4689134-9648225,"iHealth COVID-19 Antigen Rapid Test, 2 Tests per Pack,FDA EUA Authorized OTC at-Home Self Test, Results in 15 Minutes with Non-invasive Nasal Swab, Ea",17.98,1,purchase_96
