id,desc,details,date
books_26,"I purchased the book ""I Am a Strange Loop"" from Amazon Kindle","I purchased the book ""I Am a Strange Loop"" from Amazon Kindle",2019-04-19T04:37:00
books_27,"I purchased the book ""I Am a Strange Loop"" from Amazon Kindle","I purchased the book ""I Am a Strange Loop"" from Amazon Kindle",2019-04-17T04:50:00
books_28,"I purchased the book ""War and Peace"" from Amazon Kindle","I purchased the book ""War and Peace"" from Amazon Kindle",2019-04-15T03:54:00
books_29,"I purchased the book ""War and Peace"" from Amazon Kindle","I purchased the book ""War and Peace"" from Amazon Kindle",2019-04-05T19:23:00
books_30,"I purchased the book ""War and Peace"" from Amazon Kindle","I purchased the book ""War and Peace"" from Amazon Kindle",2019-04-05T16:26:00
books_31,"I purchased the book ""The Culture Map"" from Amazon Kindle","I purchased the book ""The Culture Map"" from Amazon Kindle",2019-03-28T15:06:00
books_32,"I purchased the book ""The Culture Map"" from Amazon Kindle","I purchased the book ""The Culture Map"" from Amazon Kindle",2019-03-23T05:02:00
books_33,"I purchased the book ""War and Peace"" from Amazon Kindle","I purchased the book ""War and Peace"" from Amazon Kindle",2019-03-14T16:26:00
books_34,"I purchased the book ""Neuromancer"" from Amazon Kindle","I purchased the book ""Neuromancer"" from Amazon Kindle",2019-03-14T16:22:00
books_35,"I purchased the book ""Horse"" from Amazon Kindle","I purchased the book ""Horse"" from Amazon Kindle",2019-03-03T23:17:00
books_36,"I purchased the book ""Exhalation"" from Amazon Kindle","I purchased the book ""Exhalation"" from Amazon Kindle",2019-03-03T23:16:00
books_37,"I purchased the book ""Neuromancer"" from Amazon Kindle","I purchased the book ""Neuromancer"" from Amazon Kindle",2019-04-30T16:51:00
books_38,"I purchased the book ""Exhalation"" from Amazon Kindle","I purchased the book ""Exhalation"" from Amazon Kindle",2019-04-28T04:25:00
books_39,"I purchased the book ""Give and Take"" from Amazon Kindle","I purchased the book ""Give and Take"" from Amazon Kindle",2019-04-27T13:27:00
books_40,"I purchased the book ""Hallucinations"" from Amazon Kindle","I purchased the book ""Hallucinations"" from Amazon Kindle",2019-04-18T11:22:00
books_41,"I purchased the book ""Horse"" from Amazon Kindle","I purchased the book ""Horse"" from Amazon Kindle",2019-04-16T00:11:00
books_42,"I purchased the book ""Think Again"" from Amazon Kindle","I purchased the book ""Think Again"" from Amazon Kindle",2019-04-13T23:11:00
books_43,"I purchased the book ""Give and Take"" from Amazon Kindle","I purchased the book ""Give and Take"" from Amazon Kindle",2019-04-10T02:24:00
books_44,"I purchased the book ""Into the Magic Shop"" from Amazon Kindle","I purchased the book ""Into the Magic Shop"" from Amazon Kindle",2019-04-10T02:23:00
books_45,"I purchased the book ""Good Anxiety"" from Amazon Kindle","I purchased the book ""Good Anxiety"" from Amazon Kindle",2019-04-06T14:35:00
books_46,"I purchased the book ""Hallucinations"" from Amazon Kindle","I purchased the book ""Hallucinations"" from Amazon Kindle",2019-04-05T23:52:00
books_47,"I purchased the book ""Think Again"" from Amazon Kindle","I purchased the book ""Think Again"" from Amazon Kindle",2019-04-05T23:51:00
books_48,"I purchased the book ""Neuromancer"" from Amazon Kindle","I purchased the book ""Neuromancer"" from Amazon Kindle",2019-04-04T03:49:00
books_49,"I purchased the book ""Into the Magic Shop"" from Amazon Kindle","I purchased the book ""Into the Magic Shop"" from Amazon Kindle",2019-04-03T20:17:00
books_50,"I purchased the book ""Healthy Brain, Happy Life"" from Amazon Kindle","I purchased the book ""Healthy Brain, Happy Life"" from Amazon Kindle",2019-04-03T04:23:00
books_51,"I purchased the book ""Good Anxiety"" from Amazon Kindle","I purchased the book ""Good Anxiety"" from Amazon Kindle",2019-04-03T04:23:00
books_52,"I purchased the book ""Year of Wonders"" from Amazon Kindle","I purchased the book ""Year of Wonders"" from Amazon Kindle",2019-03-29T20:50:00
books_53,"I purchased the book ""Healthy Brain, Happy Life"" from Amazon Kindle","I purchased the book ""Healthy Brain, Happy Life"" from Amazon Kindle",2019-03-28T04:08:00
books_54,"I purchased the book ""Year of Wonders"" from Amazon Kindle","I purchased the book ""Year of Wonders"" from Amazon Kindle",2019-03-24T20:24:00
books_55,"I purchased the book ""Horse"" from Amazon Kindle","I purchased the book ""Horse"" from Amazon Kindle",2019-03-24T20:22:00
books_56,"I purchased the book ""Hallucinations"" from Amazon Kindle","I purchased the book ""Hallucinations"" from Amazon Kindle",2019-03-24T20:19:00
