id,desc,details,date
books_57,"I purchased the book ""The River of Consciousness"" from Amazon Kindle","I purchased the book ""The River of Consciousness"" from Amazon Kindle",2019-03-24T20:15:00
books_58,"I purchased the book ""The River of Consciousness"" from Amazon Kindle","I purchased the book ""The River of Consciousness"" from Amazon Kindle",2019-03-23T14:26:00
books_59,"I purchased the book ""Originals"" from Amazon Kindle","I purchased the book ""Originals"" from Amazon Kindle",2019-03-23T14:25:00
books_60,"I purchased the book ""The River of Consciousness"" from Amazon Kindle","I purchased the book ""The River of Consciousness"" from Amazon Kindle",2019-03-23T14:24:00
books_61,"I purchased the book ""The River of Consciousness"" from Amazon Kindle","I purchased the book ""The River of Consciousness"" from Amazon Kindle",2019-03-23T14:23:00
books_62,"I purchased the book ""Originals"" from Amazon Kindle","I purchased the book ""Originals"" from Amazon Kindle",2019-03-20T23:47:00
books_63,"I purchased the book ""Give and Take"" from Amazon Kindle","I purchased the book ""Give and Take"" from Amazon Kindle",2019-03-20T23:46:00
books_64,"I purchased the book ""Think Again"" from Amazon Kindle","I purchased the book ""Think Again"" from Amazon Kindle",2019-03-20T23:46:00
books_65,"I purchased the book ""Stories of Your Life and Others"" from Amazon Kindle","I purchased the book ""Stories of Your Life and Others"" from Amazon Kindle",2019-03-20T00:21:00
books_66,"I purchased the book ""The Psychology of Money: Timeless lessons on wealth, greed, and happiness"" from Amazon Kindle","I purchased the book ""The Psychology of Money: Timeless lessons on wealth, greed, and happiness"" from Amazon Kindle",2019-03-20T00:20:00
books_67,"I purchased the book ""Stories of Your Life and Others"" from Amazon Kindle","I purchased the book ""Stories of Your Life and Others"" from Amazon Kindle",2019-03-16T22:10:00
books_68,"I purchased the book ""Einstein"" from Amazon Kindle","I purchased the book ""Einstein"" from Amazon Kindle",2019-03-16T22:09:00
books_69,"I purchased the book ""How to Win Friends & Influence People in the Digital Age"" from Amazon Kindle","I purchased the book ""How to Win Friends & Influence People in the Digital Age"" from Amazon Kindle",2019-03-11T15:40:00
books_70,"I purchased the book ""The Culture Map"" from Amazon Kindle","I purchased the book ""The Culture Map"" from Amazon Kindle",2019-03-11T00:07:00
books_71,"I purchased the book ""Einstein"" from Amazon Kindle","I purchased the book ""Einstein"" from Amazon Kindle",2019-03-05T17:07:00
books_72,"I purchased the book ""1491"" from Amazon Kindle","I purchased the book ""1491"" from Amazon Kindle",2019-03-05T17:04:00
books_73,"I purchased the book ""The Psychology of Money: Timeless lessons on wealth, greed, and happiness"" from Amazon Kindle","I purchased the book ""The Psychology of Money: Timeless lessons on wealth, greed, and happiness"" from Amazon Kindle",2019-03-05T09:45:00
books_74,"I purchased the book ""The Psychology of Money: Timeless lessons on wealth, greed, and happiness"" from Amazon Kindle","I purchased the book ""The Psychology of Money: Timeless lessons on wealth, greed, and happiness"" from Amazon Kindle",2019-04-29T18:04:00
books_75,"I purchased the book ""The Psychology of Money"" from Amazon Kindle","I purchased the book ""The Psychology of Money"" from Amazon Kindle",2019-04-27T03:18:00
books_76,"I purchased the book ""1491"" from Amazon Kindle","I purchased the book ""1491"" from Amazon Kindle",2019-04-26T00:41:00
books_77,"I purchased the book ""The Boys"" from Amazon Kindle","I purchased the book ""The Boys"" from Amazon Kindle",2019-04-25T14:39:00
books_78,"I purchased the book ""The Boys"" from Amazon Kindle","I purchased the book ""The Boys"" from Amazon Kindle",2019-04-22T17:47:00
books_79,"I purchased the book ""How to Win Friends & Influence People in the Digital Age"" from Amazon Kindle","I purchased the book ""How to Win Friends & Influence People in the Digital Age"" from Amazon Kindle",2019-04-21T15:40:00
books_80,"I purchased the book ""How the World Really Works"" from Amazon Kindle","I purchased the book ""How the World Really Works"" from Amazon Kindle",2019-04-20T22:06:00
books_81,"I purchased the book ""From Strength to Strength"" from Amazon Kindle","I purchased the book ""From Strength to Strength"" from Amazon Kindle",2019-04-18T03:50:00
books_82,"I purchased the book ""How the World Really Works"" from Amazon Kindle","I purchased the book ""How the World Really Works"" from Amazon Kindle",2019-04-14T17:30:00
books_83,"I purchased the book ""1491"" from Amazon Kindle","I purchased the book ""1491"" from Amazon Kindle",2019-04-07T23:17:00
books_84,"I purchased the book ""The Boys"" from Amazon Kindle","I purchased the book ""The Boys"" from Amazon Kindle",2019-04-03T20:41:00
books_85,"I purchased the book ""The Devil's Star"" from Amazon Kindle","I purchased the book ""The Devil's Star"" from Amazon Kindle",2019-03-28T17:36:00
books_86,"I purchased the book ""The Bitcoin Standard"" from Amazon Kindle","I purchased the book ""The Bitcoin Standard"" from Amazon Kindle",2019-03-24T22:41:00
books_87,"I purchased the book ""The Devil's Star"" from Amazon Kindle","I purchased the book ""The Devil's Star"" from Amazon Kindle",2019-03-07T17:36:00
books_88,"I purchased the book ""Mating in Captivity"" from Amazon Kindle","I purchased the book ""Mating in Captivity"" from Amazon Kindle",2019-03-06T03:51:00
books_89,"I purchased the book ""How the World Really Works"" from Amazon Kindle","I purchased the book ""How the World Really Works"" from Amazon Kindle",2019-03-06T03:05:00
books_90,"I purchased the book ""The Lincoln Highway"" from Amazon Kindle","I purchased the book ""The Lincoln Highway"" from Amazon Kindle",2019-03-06T03:04:00
books_91,"I purchased the book ""The Three-Body Problem"" from Amazon Kindle","I purchased the book ""The Three-Body Problem"" from Amazon Kindle",2019-03-04T03:07:00
books_92,"I purchased the book ""Mating in Captivity"" from Amazon Kindle","I purchased the book ""Mating in Captivity"" from Amazon Kindle",2019-03-04T03:07:00
books_93,"I purchased the book ""The Culture Map"" from Amazon Kindle","I purchased the book ""The Culture Map"" from Amazon Kindle",2019-03-04T03:06:00
books_94,"I purchased the book ""The Bitcoin Standard"" from Amazon Kindle","I purchased the book ""The Bitcoin Standard"" from Amazon Kindle",2019-03-03T22:41:00
books_95,"I purchased the book ""The Three-Body Problem"" from Amazon Kindle","I purchased the book ""The Three-Body Problem"" from Amazon Kindle",2019-04-21T19:17:00
books_96,"I purchased the book ""The Ministry for the Future"" from Amazon Kindle","I purchased the book ""The Ministry for the Future"" from Amazon Kindle",2019-04-05T18:59:00
books_97,"I purchased the book ""Benjamin Franklin"" from Amazon Kindle","I purchased the book ""Benjamin Franklin"" from Amazon Kindle",2019-03-28T21:42:00
books_98,"I purchased the book ""The Curious Case of Benjamin Button and Other Jazz Age Tales"" from Amazon Kindle","I purchased the book ""The Curious Case of Benjamin Button and Other Jazz Age Tales"" from Amazon Kindle",2019-03-18T23:42:00
books_99,"I purchased the book ""The House of the Spirits"" from Amazon Kindle","I purchased the book ""The House of the Spirits"" from Amazon Kindle",2019-03-18T23:41:00
books_100,"I purchased the book ""The Ministry for the Future"" from Amazon Kindle","I purchased the book ""The Ministry for the Future"" from Amazon Kindle",2019-03-15T18:59:00
books_101,"I purchased the book ""The Body"" from Amazon Kindle","I purchased the book ""The Body"" from Amazon Kindle",2019-03-08T17:18:00
books_102,"I purchased the book ""Benjamin Franklin"" from Amazon Kindle","I purchased the book ""Benjamin Franklin"" from Amazon Kindle",2019-03-07T21:42:00
books_103,"I purchased the book ""The Curious Case of Benjamin Button and Other Jazz Age Tales"" from Amazon Kindle","I purchased the book ""The Curious Case of Benjamin Button and Other Jazz Age Tales"" from Amazon Kindle",2019-04-27T23:42:00
books_104,"I purchased the book ""The House of the Spirits"" from Amazon Kindle","I purchased the book ""The House of the Spirits"" from Amazon Kindle",2019-04-27T23:41:00
books_105,"I purchased the book ""The Ministry for the Future"" from Amazon Kindle","I purchased the book ""The Ministry for the Future"" from Amazon Kindle",2019-04-24T22:57:00
books_106,"I purchased the book ""Leonardo da Vinci"" from Amazon Kindle","I purchased the book ""Leonardo da Vinci"" from Amazon Kindle",2019-04-24T18:43:00
books_107,"I purchased the book ""The Body"" from Amazon Kindle","I purchased the book ""The Body"" from Amazon Kindle",2019-04-17T17:18:00
books_108,"I purchased the book ""Benjamin Franklin"" from Amazon Kindle","I purchased the book ""Benjamin Franklin"" from Amazon Kindle",2019-04-17T17:16:00
books_109,"I purchased the book ""Leonardo da Vinci"" from Amazon Kindle","I purchased the book ""Leonardo da Vinci"" from Amazon Kindle",2019-04-03T18:43:00
books_111,"I purchased the book ""A Thousand Brains: A New Theory of Intelligence"" from Amazon Kindle","I purchased the book ""A Thousand Brains: A New Theory of Intelligence"" from Amazon Kindle",2019-04-28T16:51:51
books_112,"I purchased the book ""50 Greatest Positive Psychology Quotes: A Beautiful Photo Book of The Most Inspiring Positive Psychological Quotes"" from Amazon Kindle","I purchased the book ""50 Greatest Positive Psychology Quotes: A Beautiful Photo Book of The Most Inspiring Positive Psychological Quotes"" from Amazon Kindle",2019-04-20T16:51:51
books_113,"I purchased the book ""Before the Coffee Gets Cold: A Novel (Before the Coffee Gets Cold Series Book 1)"" from Amazon Kindle","I purchased the book ""Before the Coffee Gets Cold: A Novel (Before the Coffee Gets Cold Series Book 1)"" from Amazon Kindle",2019-03-27T16:51:51
books_114,"I purchased the book ""The Enigma of Reason"" from Amazon Kindle","I purchased the book ""The Enigma of Reason"" from Amazon Kindle",2019-03-24T16:51:51
books_115,"I purchased the book ""Snow Crash: A Novel"" from Amazon Kindle","I purchased the book ""Snow Crash: A Novel"" from Amazon Kindle",2019-03-12T16:51:51
books_267,"I purchased the book ""The Innovators"" from Amazon Kindle","I purchased the book ""The Innovators"" from Amazon Kindle",2019-03-08T16:51:51
books_268,"I purchased the book ""Life 3.0"" from Amazon Kindle","I purchased the book ""Life 3.0"" from Amazon Kindle",2019-03-08T16:51:51
books_269,"I purchased the book ""Total Recall"" from Amazon Kindle","I purchased the book ""Total Recall"" from Amazon Kindle",2019-03-17T16:51:51
books_270,"I purchased the book ""Discovery Trial"" from Amazon Kindle","I purchased the book ""Discovery Trial"" from Amazon Kindle",2019-04-28T16:51:51
exercise_35,I exercised by 08:00: running 39 minutes ,I exercised by 08:00: running 39 minutes ,2019-03-02 08:00:34-08:00
exercise_36,I exercised by 06:55: running 25 minutes ,I exercised by 06:55: running 25 minutes ,2019-03-05 06:55:11-08:00
exercise_37,I exercised by 08:32: running 40 minutes ,I exercised by 08:32: running 40 minutes ,2019-03-07 08:32:33-08:00
exercise_38,I exercised by 07:27: running 51 minutes ,I exercised by 07:27: running 51 minutes ,2019-03-09 07:27:37-08:00
exercise_39,I exercised by 06:49: running 52 minutes ,I exercised by 06:49: running 52 minutes ,2019-03-11 06:49:09-07:00
exercise_40,I exercised by 07:22: running 40 minutes ,I exercised by 07:22: running 40 minutes ,2019-03-13 07:22:20-07:00
exercise_41,I exercised by 06:31: running 59 minutes ,I exercised by 06:31: running 59 minutes ,2019-03-15 06:31:18-07:00
exercise_42,I exercised by 07:11: running 27 minutes ,I exercised by 07:11: running 27 minutes ,2019-03-17 07:11:09-07:00
exercise_43,I exercised by 05:29: running 27 minutes ,I exercised by 05:29: running 27 minutes ,2019-03-18 05:29:42-07:00
exercise_44,I exercised by 06:34: running 54 minutes ,I exercised by 06:34: running 54 minutes ,2019-03-19 06:34:16-07:00
exercise_45,I exercised by 07:19: running 43 minutes ,I exercised by 07:19: running 43 minutes ,2019-03-21 07:19:26-07:00
exercise_46,I exercised by 09:49: running 51 minutes ,I exercised by 09:49: running 51 minutes ,2019-03-23 09:49:54-07:00
exercise_47,I exercised by 06:57: running 25 minutes ,I exercised by 06:57: running 25 minutes ,2019-03-25 06:57:57-07:00
exercise_48,I exercised by 13:16: running 25 minutes ,I exercised by 13:16: running 25 minutes ,2019-03-26 13:16:14-07:00
exercise_49,I exercised by 14:32: running 25 minutes ,I exercised by 14:32: running 25 minutes ,2019-03-28 14:32:20-07:00
exercise_50,I exercised by 14:03: running 26 minutes ,I exercised by 14:03: running 26 minutes ,2019-03-29 14:03:32-07:00
exercise_51,I exercised by 15:42: running 24 minutes ,I exercised by 15:42: running 24 minutes ,2019-03-30 15:42:25-07:00
exercise_52,I exercised by 06:48: running 24 minutes ,I exercised by 06:48: running 24 minutes ,2019-04-01 06:48:07+08:00
exercise_53,I exercised by 00:32: running 41 minutes ,I exercised by 00:32: running 41 minutes ,2019-04-04 00:32:10+08:00
exercise_54,I exercised by 06:15: running 40 minutes ,I exercised by 06:15: running 40 minutes ,2019-04-05 06:15:21-07:00
exercise_55,I exercised by 06:38: running 51 minutes ,I exercised by 06:38: running 51 minutes ,2019-04-07 06:38:31-07:00
exercise_56,I exercised by 06:27: running 39 minutes ,I exercised by 06:27: running 39 minutes ,2019-04-08 06:27:28-07:00
exercise_57,I exercised by 15:25: running 24 minutes ,I exercised by 15:25: running 24 minutes ,2019-04-10 15:25:29-07:00
exercise_58,I exercised by 07:25: running 112 minutes ,I exercised by 07:25: running 112 minutes ,2019-04-12 07:25:13-07:00
exercise_59,I exercised by 05:57: running 26 minutes ,I exercised by 05:57: running 26 minutes ,2019-04-15 05:57:30-07:00
exercise_60,I exercised by 05:18: running 27 minutes ,I exercised by 05:18: running 27 minutes ,2019-04-16 05:18:50-07:00
exercise_61,I exercised by 05:12: running 25 minutes ,I exercised by 05:12: running 25 minutes ,2019-04-18 05:12:15-07:00
exercise_62,I exercised by 05:58: running 25 minutes ,I exercised by 05:58: running 25 minutes ,2019-04-19 05:58:01-07:00
exercise_63,I exercised by 11:14: running 41 minutes ,I exercised by 11:14: running 41 minutes ,2019-04-21 11:14:15-07:00
exercise_64,I exercised by 07:56: running 41 minutes ,I exercised by 07:56: running 41 minutes ,2019-04-23 07:56:33-07:00
exercise_65,I exercised by 07:27: walking 28 minutes ,I exercised by 07:27: walking 28 minutes ,2019-04-24 07:27:16-07:00
exercise_66,I exercised by 08:43: running 52 minutes ,I exercised by 08:43: running 52 minutes ,2019-04-29 08:43:36-07:00
photos_0,"I took a photo of Performance at the performance arena  (""Taking the stage."") ","I took a photo of Performance at the performance arena  (""Taking the stage."") ",2019-04-18 00:01:26+00:00
photos_1,I took a photo of Egg tart at the shop bakery  (Freshly-baked egg tarts!) ,I took a photo of Egg tart at the shop bakery  (Freshly-baked egg tarts!) ,2019-03-31 06:58:44+00:00
photos_2,"I took a photo of Very large floating structure at the conference center  (""A sea of possibilities."") ","I took a photo of Very large floating structure at the conference center  (""A sea of possibilities."") ",2019-04-15 14:58:30+00:00
photos_3,"I took a photo of Canyon at the canyon  (""Awe-inspiring beauty."") ","I took a photo of Canyon at the canyon  (""Awe-inspiring beauty."") ",2019-04-25 15:57:11+00:00
photos_4,"I took a photo of Receipt at the clothing store of ""Texas Home on Greg Street"" (""New outfit, here I come!"") ","I took a photo of Receipt at the clothing store of ""Texas Home on Greg Street"" (""New outfit, here I come!"") ",2019-03-03 07:41:47-08:00
photos_5,"I took a photo of Receipt at the bookstore of ""Texas Home on Greg Street"" (""Booked and paid!"") ","I took a photo of Receipt at the bookstore of ""Texas Home on Greg Street"" (""Booked and paid!"") ",2019-03-03 07:42:11-08:00
photos_6,"I took a photo of Prescription drug at the pharmacy of ""Texas Home on Greg Street"" (""Filling a prescription."") ","I took a photo of Prescription drug at the pharmacy of ""Texas Home on Greg Street"" (""Filling a prescription."") ",2019-03-03 07:42:35-08:00
photos_7,"I took a photo of Boy scouts of america at the recreation room of Biking in Randall County, Texas (""Exploring new possibilities."") ","I took a photo of Boy scouts of america at the recreation room of Biking in Randall County, Texas (""Exploring new possibilities."") ",2019-03-05 19:36:00-08:00
photos_8,"I took a photo of Real estate at the residential neighborhood of ""Texas Home on Greg Street"" (""A Home for Every Family"") ","I took a photo of Real estate at the residential neighborhood of ""Texas Home on Greg Street"" (""A Home for Every Family"") ",2019-03-06 19:46:40-08:00
photos_9,"I took a photo of Hangikjöt at the sauna  (""A traditional Icelandic treat in a cozy setting."") ","I took a photo of Hangikjöt at the sauna  (""A traditional Icelandic treat in a cozy setting."") ",2019-03-11 16:27:43+00:00
photos_10,"I took a photo of Auditorium at the auditorium of Helium Road, Texas (""A full house."") ","I took a photo of Auditorium at the auditorium of Helium Road, Texas (""A full house."") ",2019-03-18 09:20:41-07:00
photos_11,"I took a photo of Academic conference at the conference center of Helium Road, Texas (""Exploring new ideas at the conference."") ","I took a photo of Academic conference at the conference center of Helium Road, Texas (""Exploring new ideas at the conference."") ",2019-03-18 09:31:03-07:00
photos_12,"I took a photo of Presentation at the lecture room of Helium Road, Texas (""Sharing knowledge."") ","I took a photo of Presentation at the lecture room of Helium Road, Texas (""Sharing knowledge."") ",2019-03-18 10:43:51-07:00
photos_13,"I took a photo of Presentation at the lecture room of Helium Road, Texas (""Sharing knowledge."") ","I took a photo of Presentation at the lecture room of Helium Road, Texas (""Sharing knowledge."") ",2019-03-18 10:44:49-07:00
photos_14,"I took a photo of Academic conference at the reception of Helium Road, Texas (""Gathering to learn and share knowledge."") ","I took a photo of Academic conference at the reception of Helium Road, Texas (""Gathering to learn and share knowledge."") ",2019-03-18 13:00:08-07:00
photos_15,"I took a photo of Hospital at the hospital of Helium Road, Texas (""Healing begins here."") ","I took a photo of Hospital at the hospital of Helium Road, Texas (""Healing begins here."") ",2019-03-18 15:52:33-07:00
photos_16,"I took a photo of Academic conference at the conference room of Helium Road, Texas (Academic minds come together.) ","I took a photo of Academic conference at the conference room of Helium Road, Texas (Academic minds come together.) ",2019-03-18 16:05:51-07:00
photos_17,"I took a photo of Invoice at the jail cell of ""Texas Home on Greg Street"" (""Incarcerated."") ","I took a photo of Invoice at the jail cell of ""Texas Home on Greg Street"" (""Incarcerated."") ",2019-03-19 12:32:09-07:00
photos_18,"I took a photo of Shopping list at the supermarket of Exploring Randall County, Texas (Grocery shopping time!) ","I took a photo of Shopping list at the supermarket of Exploring Randall County, Texas (Grocery shopping time!) ",2019-03-22 19:06:44-07:00
photos_19,"I took a photo of Camp at the campsite of Exploring Castro County, Texas (Exploring nature.) ","I took a photo of Camp at the campsite of Exploring Castro County, Texas (Exploring nature.) ",2019-03-23 09:36:05-07:00
photos_20,"I took a photo of Academic certificate at the archive of Exploring Seoul National University (""Achievement Recognized"") ","I took a photo of Academic certificate at the archive of Exploring Seoul National University (""Achievement Recognized"") ",2019-03-27 11:42:43+09:00
photos_21,"I took a photo of Academic certificate at the office of Exploring Seoul National University (""Achievement Recognized"") ","I took a photo of Academic certificate at the office of Exploring Seoul National University (""Achievement Recognized"") ",2019-03-27 11:42:50+09:00
photos_22,"I took a photo of Academic conference at the conference center of Exploring Seoul National University (""Exploring new ideas at the conference."") ","I took a photo of Academic conference at the conference center of Exploring Seoul National University (""Exploring new ideas at the conference."") ",2019-03-27 13:45:36+09:00
photos_23,"I took a photo of University at the conference center of Exploring Seoul National University (""Uniting for success."") ","I took a photo of University at the conference center of Exploring Seoul National University (""Uniting for success."") ",2019-03-27 13:45:47+09:00
photos_24,"I took a photo of University at the campus of Exploring Seoul National University (""Exploring the University Campus"") ","I took a photo of University at the campus of Exploring Seoul National University (""Exploring the University Campus"") ",2019-03-27 13:45:47+09:00
photos_25,I took a photo of Fish products at the fishpond of Exploring Seoul's Seocho-gu (Fresh Fish Catch!) ,I took a photo of Fish products at the fishpond of Exploring Seoul's Seocho-gu (Fresh Fish Catch!) ,2019-03-27 18:36:03+09:00
photos_26,I took a photo of Airport at the airport terminal of Incheon Int'l Airport Terminal 1 (Traveling the world.) ,I took a photo of Airport at the airport terminal of Incheon Int'l Airport Terminal 1 (Traveling the world.) ,2019-03-28 06:38:09+09:00
photos_27,"I took a photo of Toyota voltz at the industrial area  (""Powering the industrial future."") ","I took a photo of Toyota voltz at the industrial area  (""Powering the industrial future."") ",2019-03-28 04:34:33+00:00
photos_28,I took a photo of Tsukudani at the restaurant of Roppongi's Asahi Shokudo (Tasty Tsukudani!) ,I took a photo of Tsukudani at the restaurant of Roppongi's Asahi Shokudo (Tasty Tsukudani!) ,2019-03-28 20:38:13+09:00
photos_29,I took a photo of Nabemono at the sushi bar of Roppongi's Asahi Shokudo (Enjoying a hot pot of Nabemono.) ,I took a photo of Nabemono at the sushi bar of Roppongi's Asahi Shokudo (Enjoying a hot pot of Nabemono.) ,2019-03-28 20:47:46+09:00
photos_30,"I took a photo of Ainu cuisine at the restaurant of Roppongi's Asahi Shokudo (""Delicious Ainu cuisine!"") ","I took a photo of Ainu cuisine at the restaurant of Roppongi's Asahi Shokudo (""Delicious Ainu cuisine!"") ",2019-03-28 21:36:34+09:00
photos_31,I took a photo of Sashimi at the sushi bar of Roppongi's Asahi Shokudo (Freshly-sliced sashimi.) ,I took a photo of Sashimi at the sushi bar of Roppongi's Asahi Shokudo (Freshly-sliced sashimi.) ,2019-03-28 23:25:42+09:00
photos_32,"I took a photo of Quince dessert at the sushi bar of Roppongi's Asahi Shokudo (""A sweet treat!"") ","I took a photo of Quince dessert at the sushi bar of Roppongi's Asahi Shokudo (""A sweet treat!"") ",2019-03-28 23:25:52+09:00
photos_33,"I took a photo of Muesli at the cafeteria of Grand Hyatt Tokyo (""A healthy start to the day!"") ","I took a photo of Muesli at the cafeteria of Grand Hyatt Tokyo (""A healthy start to the day!"") ",2019-03-29 09:12:12+09:00
photos_34,"I took a photo of Taishōgoto at the asia temple of Moto-Azabu, Tokyo (""A traditional Japanese instrument."") ","I took a photo of Taishōgoto at the asia temple of Moto-Azabu, Tokyo (""A traditional Japanese instrument."") ",2019-03-29 10:08:09+09:00
photos_35,"I took a photo of Cherry blossom at the street of Aiiku Hospital in Tokyo (""Spring beauty."") ","I took a photo of Cherry blossom at the street of Aiiku Hospital in Tokyo (""Spring beauty."") ",2019-03-29 10:13:09+09:00
photos_36,"I took a photo of Koinobori at the urban canal of Exploring Naka-Meguro, Tokyo (Celebrating Children's Day in the city.) ","I took a photo of Koinobori at the urban canal of Exploring Naka-Meguro, Tokyo (Celebrating Children's Day in the city.) ",2019-03-29 10:53:41+09:00
photos_37,"I took a photo of Cherry blossom at the urban canal of Exploring Naka-Meguro, Tokyo (""Urban beauty."") ","I took a photo of Cherry blossom at the urban canal of Exploring Naka-Meguro, Tokyo (""Urban beauty."") ",2019-03-29 10:54:16+09:00
photos_38,"I took a photo of Cherry blossom at the urban canal of Exploring Naka-Meguro, Tokyo (""Urban beauty."") ","I took a photo of Cherry blossom at the urban canal of Exploring Naka-Meguro, Tokyo (""Urban beauty."") ",2019-03-29 10:54:15+09:00
photos_39,"I took a photo of Koinobori at the urban canal of Exploring Naka-Meguro, Tokyo (Celebrating Children's Day in the city.) ","I took a photo of Koinobori at the urban canal of Exploring Naka-Meguro, Tokyo (Celebrating Children's Day in the city.) ",2019-03-29 10:54:51+09:00
photos_40,"I took a photo of Cherry blossom at the urban canal of Exploring Naka-Meguro, Tokyo (""Urban beauty."") ","I took a photo of Cherry blossom at the urban canal of Exploring Naka-Meguro, Tokyo (""Urban beauty."") ",2019-03-29 10:54:59+09:00
photos_41,"I took a photo of Cherry blossom at the urban canal of Exploring Naka-Meguro, Tokyo (""Urban beauty."") ","I took a photo of Cherry blossom at the urban canal of Exploring Naka-Meguro, Tokyo (""Urban beauty."") ",2019-03-29 10:56:04+09:00
photos_42,"I took a photo of Cherry blossom at the urban canal of Exploring Naka-Meguro, Tokyo (""Urban beauty."") ","I took a photo of Cherry blossom at the urban canal of Exploring Naka-Meguro, Tokyo (""Urban beauty."") ",2019-03-29 10:56:37+09:00
photos_43,"I took a photo of Gate at the asia temple of University of Tokyo, Tokyo (""Ancient Temple Gate"") ","I took a photo of Gate at the asia temple of University of Tokyo, Tokyo (""Ancient Temple Gate"") ",2019-03-29 12:28:58+09:00
