,Unnamed: 0,start_time,end_time,artist,track,playtimeMs,spotify_link,id
64,64,2019-03-23T22:57:59.020807,2019-03-23T22:58:00,Lex Fridman Podcast,#295 – Richard Wolff: Marxism and Communism,979193,,streaming_64
65,65,2019-03-24T02:53:59.999370,2019-03-24T02:54:00,Lex Fridman Podcast,#295 – Richard Wolff: Marxism and Communism,630,,streaming_65
66,66,2019-03-24T03:47:57.137380,2019-03-24T03:48:00,Lex Fridman Podcast,#301 – Jack Barsky: KGB Spy,2862620,,streaming_66
67,67,2019-03-24T21:03:57.085293,2019-03-24T21:04:00,Lex Fridman Podcast,#301 – Jack Barsky: KGB Spy,2914707,,streaming_67
68,68,2019-03-28T15:13:55.193621,2019-03-28T15:14:00,Lex Fridman Podcast,#306 – Oriol Vinyals: Deep Learning and Artificial General Intelligence,4806379,,streaming_68
69,69,2019-03-29T01:18:58.907601,2019-03-29T01:19:00,Lex Fridman Podcast,#306 – Oriol Vinyals: Deep Learning and Artificial General Intelligence,1092399,,streaming_69
70,70,2019-03-29T17:12:58.377812,2019-03-29T17:13:00,Lex Fridman Podcast,#306 – Oriol Vinyals: Deep Learning and Artificial General Intelligence,1622188,,streaming_70
71,71,2019-03-29T20:00:59.729921,2019-03-29T20:01:00,Lex Fridman Podcast,#306 – Oriol Vinyals: Deep Learning and Artificial General Intelligence,270079,,streaming_71
72,72,2019-03-30T00:26:59.587893,2019-03-30T00:27:00,Lex Fridman Podcast,#207 – Chris Duffin: The Mad Scientist of Strength,412107,,streaming_72
73,73,2019-03-30T23:57:59.994590,2019-03-30T23:58:00,Lex Fridman Podcast,#207 – Chris Duffin: The Mad Scientist of Strength,5410,,streaming_73
74,74,2019-03-30T00:51:56.797826,2019-03-30T00:52:00,Lex Fridman Podcast,#298 – Susan Cain: The Power of Introverts and Loneliness,3202174,,streaming_74
75,75,2019-04-01T20:15:56.262083,2019-04-01T20:16:00,Lex Fridman Podcast,#298 – Susan Cain: The Power of Introverts and Loneliness,3737917,,streaming_75
76,76,2019-04-02T03:02:59.791198,2019-04-02T03:03:00,Lex Fridman Podcast,#298 – Susan Cain: The Power of Introverts and Loneliness,208802,,streaming_76
77,77,2019-04-02T14:24:59.994295,2019-04-02T14:25:00,Lex Fridman Podcast,#299 – Demis Hassabis: DeepMind,5705,,streaming_77
78,78,2019-04-05T18:00:59.997247,2019-04-05T18:01:00,Lex Fridman Podcast,"#277 – Andrew Huberman: Focus, Stress, Relationships, and Friendship",2753,,streaming_78
79,79,2019-04-05T18:00:59.999478,2019-04-05T18:01:00,Lex Fridman Podcast,#299 – Demis Hassabis: DeepMind,522,,streaming_79
80,80,2019-04-05T19:50:56.902858,2019-04-05T19:51:00,Lex Fridman Podcast,"#277 – Andrew Huberman: Focus, Stress, Relationships, and Friendship",3097142,,streaming_80
81,81,2019-04-05T23:46:55.538729,2019-04-05T23:47:00,Lex Fridman Podcast,"#277 – Andrew Huberman: Focus, Stress, Relationships, and Friendship",4461271,,streaming_81
82,82,2019-04-08T06:01:57.093682,2019-04-08T06:02:00,Lex Fridman Podcast," #309 – John Carmack: Doom, Quake, VR, AGI, Programming, Video Games, and Rockets",2906318,https://open.spotify.com/track/4uUA3g2Evr8jziBnCZlUl0,streaming_82
83,83,2019-04-08T19:39:57.271936,2019-04-08T19:40:00,Lex Fridman Podcast," #309 – John Carmack: Doom, Quake, VR, AGI, Programming, Video Games, and Rockets",2728064,https://open.spotify.com/track/4uUA3g2Evr8jziBnCZlUl0,streaming_83
84,84,2019-04-08T21:50:58.395412,2019-04-08T21:51:00,Lex Fridman Podcast," #309 – John Carmack: Doom, Quake, VR, AGI, Programming, Video Games, and Rockets",1604588,https://open.spotify.com/track/4uUA3g2Evr8jziBnCZlUl0,streaming_84
85,85,2019-04-09T17:42:59.791494,2019-04-09T17:43:00,Olivia Newton-John,Xanadu,208506,https://open.spotify.com/track/67tNgYlYbsIs2klWOJwhr5,streaming_85
86,86,2019-04-09T17:46:59.773902,2019-04-09T17:47:00,Olivia Newton-John,Carried Away - Alternate Mix / Remastered 2021,226098,https://open.spotify.com/track/45o0VxsPoYt2IAJ25irnGS,streaming_86
87,87,2019-04-09T17:50:59.774008,2019-04-09T17:51:00,Olivia Newton-John,Physical - Remastered 2021,225992,https://open.spotify.com/track/737CBNAqpmgN5qWQJncfcD,streaming_87
88,88,2019-04-09T17:54:59.743864,2019-04-09T17:55:00,Olivia Newton-John,Shaking You - Remastered 2021,256136,https://open.spotify.com/track/1eoLWTfOJz4UXC7wDvqjOd,streaming_88
89,89,2019-04-09T17:58:59.779667,2019-04-09T17:59:00,Olivia Newton-John,"I Love You, I Honestly Love You",220333,https://open.spotify.com/track/0cM3OFAPxAshOOy7MT90Yc,streaming_89
90,90,2019-04-09T18:02:59.774126,2019-04-09T18:03:00,Olivia Newton-John,Carried Away - Remastered 2021,225874,https://open.spotify.com/track/7sUJAP8vQAFyZZ8AJkcE5Z,streaming_90
91,91,2019-04-09T18:05:59.786467,2019-04-09T18:06:00,Olivia Newton-John,Have You Never Been Mellow,213533,https://open.spotify.com/track/668lXk61ZcAUdXIcya9Ehe,streaming_91
92,92,2019-04-09T18:12:59.598201,2019-04-09T18:13:00,Olivia Newton-John,Livin' In Desperate Times - Extended Version / Remastered 2021,401799,https://open.spotify.com/track/4WXNWhGUorBmNbnRIIA7eO,streaming_92
93,93,2019-04-10T03:44:59.830160,2019-04-10T03:45:00,John Travolta,You're The One That I Want - From “Grease”,169840,,streaming_93
94,94,2019-04-10T03:47:59.831134,2019-04-10T03:48:00,David Gates,Goodbye Girl,168866,https://open.spotify.com/track/16rFIDV8h9TRbweNH0GSBX,streaming_94
95,95,2019-04-10T03:50:59.821534,2019-04-10T03:51:00,Michael Johnson,Two In Love,178466,https://open.spotify.com/track/2izrKyt56ZgLeiq7tMo7lc,streaming_95
96,96,2019-04-10T03:53:59.799840,2019-04-10T03:54:00,Stephen Bishop,When You Wish Upon a Star,200160,https://open.spotify.com/track/7iPGlz0AhLWbZKvUviE2If,streaming_96
97,97,2019-04-10T03:57:59.781467,2019-04-10T03:58:00,Quarterflash,Try To Make It True,218533,https://open.spotify.com/track/2GVmwsapgsyWEBThtj1SC9,streaming_97
98,98,2019-04-10T03:58:59.960589,2019-04-10T03:59:00,Taylor Dayne,Willpower,39411,https://open.spotify.com/track/7HAymNxfWV1oUEDwPpre5V,streaming_98
99,99,2019-04-10T18:59:59.809853,2019-04-10T19:00:00,Taylor Dayne,Willpower,190147,https://open.spotify.com/track/7HAymNxfWV1oUEDwPpre5V,streaming_99
100,100,2019-04-10T19:02:59.805534,2019-04-10T19:03:00,Crystal Gayle,If You Ever Change Your Mind,194466,https://open.spotify.com/track/7g15iih7w6WEqdtL3nY50r,streaming_100
101,101,2019-04-11T00:02:53.600471,2019-04-11T00:03:00,Lex Fridman Podcast,#290 – Dan Reynolds: Imagine Dragons,6399529,,streaming_101
102,102,2019-04-11T00:39:58.542013,2019-04-11T00:40:00,Lex Fridman Podcast,#290 – Dan Reynolds: Imagine Dragons,1457987,,streaming_102
103,103,2019-04-11T15:29:56.176277,2019-04-11T15:30:00,Lex Fridman Podcast,#291 – Jonathan Haidt: The Case Against Social Media,3823723,,streaming_103
104,104,2019-04-12T19:54:57.706751,2019-04-12T19:55:00,Lex Fridman Podcast,#291 – Jonathan Haidt: The Case Against Social Media,2293249,,streaming_104
105,105,2019-04-12T20:10:59.420645,2019-04-12T20:11:00,Lex Fridman Podcast,"#292 – Robin Hanson: Alien Civilizations, UFOs, and the Future of Humanity",579355,,streaming_105
106,106,2019-04-13T18:46:55.390590,2019-04-13T18:47:00,Lex Fridman Podcast," #309 – John Carmack: Doom, Quake, VR, AGI, Programming, Video Games, and Rockets",4609410,https://open.spotify.com/track/4uUA3g2Evr8jziBnCZlUl0,streaming_106
107,107,2019-04-13T22:38:56.433995,2019-04-13T22:39:00,Lex Fridman Podcast," #309 – John Carmack: Doom, Quake, VR, AGI, Programming, Video Games, and Rockets",3566005,https://open.spotify.com/track/4uUA3g2Evr8jziBnCZlUl0,streaming_107
108,108,2019-04-14T17:20:59.995757,2019-04-14T17:21:00,Lex Fridman Podcast,#310 – Andrew Bustamante: CIA Spy,4243,,streaming_108
109,109,2019-04-14T17:20:56.584921,2019-04-14T17:21:00,Lex Fridman Podcast," #309 – John Carmack: Doom, Quake, VR, AGI, Programming, Video Games, and Rockets",3415079,https://open.spotify.com/track/4uUA3g2Evr8jziBnCZlUl0,streaming_109
