,Unnamed: 0,start_time,end_time,artist,track,playtimeMs,spotify_link,id
0,0,2019-03-30T11:34:59.982000,2019-03-30T11:35:00,Lex Fridman Podcast,"#282 – David Buss: Sex, Dating, Relationships, and Sex Differences",18000,,streaming_0
1,1,2019-03-30T12:24:57.597980,2019-03-30T12:25:00,Lex Fridman Podcast,"#282 – David Buss: Sex, Dating, Relationships, and Sex Differences",2402020,,streaming_1
2,2,2019-04-01T18:55:58.781460,2019-04-01T18:56:00,Lex Fridman Podcast,"#282 – David Buss: Sex, Dating, Relationships, and Sex Differences",1218540,,streaming_2
3,3,2019-04-05T14:03:56.228030,2019-04-05T14:04:00,Lex Fridman Podcast,"#282 – David Buss: Sex, Dating, Relationships, and Sex Differences",3771970,,streaming_3
4,4,2019-04-05T18:14:59.195242,2019-04-05T18:15:00,Lex Fridman Podcast,"#282 – David Buss: Sex, Dating, Relationships, and Sex Differences",804758,,streaming_4
5,5,2019-04-05T19:38:59.996703,2019-04-05T19:39:00,Lex Fridman Podcast,"#282 – David Buss: Sex, Dating, Relationships, and Sex Differences",3297,,streaming_5
6,6,2019-04-05T20:28:57.034859,2019-04-05T20:29:00,Lex Fridman Podcast,"#282 – David Buss: Sex, Dating, Relationships, and Sex Differences",2965141,,streaming_6
7,7,2019-04-05T23:20:58.466136,2019-04-05T23:21:00,Lex Fridman Podcast,"#282 – David Buss: Sex, Dating, Relationships, and Sex Differences",1533864,,streaming_7
8,8,2019-04-05T23:45:58.517419,2019-04-05T23:46:00,Lex Fridman Podcast,"#283 – Chris Mason: Space Travel, Colonization, and Long-Term Survival in Space",1482581,,streaming_8
9,9,2019-04-07T02:18:59.548571,2019-04-07T02:19:00,Lex Fridman Podcast,"#284 – Saifedean Ammous: Bitcoin, Anarchy, and Austrian Economics",451429,,streaming_9
10,10,2019-04-09T02:09:59.132590,2019-04-09T02:10:00,Lex Fridman Podcast,"#284 – Saifedean Ammous: Bitcoin, Anarchy, and Austrian Economics",867410,,streaming_10
11,11,2019-04-10T21:31:59.990678,2019-04-10T21:32:00,Lex Fridman Podcast,"#284 – Saifedean Ammous: Bitcoin, Anarchy, and Austrian Economics",9322,,streaming_11
12,12,2019-04-17T15:32:54.334971,2019-04-17T15:33:00,Lex Fridman Podcast,"#284 – Saifedean Ammous: Bitcoin, Anarchy, and Austrian Economics",5665029,,streaming_12
13,13,2019-04-19T04:16:53.888978,2019-04-19T04:17:00,Lex Fridman Podcast,"#284 – Saifedean Ammous: Bitcoin, Anarchy, and Austrian Economics",6111022,,streaming_13
14,14,2019-04-19T16:50:59.718676,2019-04-19T16:51:00,Lex Fridman Podcast,"#284 – Saifedean Ammous: Bitcoin, Anarchy, and Austrian Economics",281324,,streaming_14
15,15,2019-04-19T19:18:58.126081,2019-04-19T19:19:00,Lex Fridman Podcast,"#284 – Saifedean Ammous: Bitcoin, Anarchy, and Austrian Economics",1873919,,streaming_15
16,16,2019-04-20T01:34:52.331822,2019-04-20T01:35:00,Lex Fridman Podcast,"#285 – Glenn Loury: Race, Racism, Identity Politics, and Cancel Culture",7668178,,streaming_16
17,17,2019-04-22T15:16:54.972476,2019-04-22T15:17:00,Lex Fridman Podcast,"#285 – Glenn Loury: Race, Racism, Identity Politics, and Cancel Culture",5027524,,streaming_17
18,18,2019-04-22T16:12:59.995290,2019-04-22T16:13:00,Lex Fridman Podcast,#286 – Oliver Stone: Vladimir Putin and War in Ukraine,4710,,streaming_18
19,19,2019-03-02T22:21:59.881629,2019-03-02T22:22:00,Doris Casella,Estelle,118371,https://open.spotify.com/track/2XPxkVgxyj4QVaW78kS5vb,streaming_19
20,20,2019-03-02T22:23:59.868349,2019-03-02T22:24:00,Isshi Matsuriza,Shizukana,131651,https://open.spotify.com/track/63oFS9JTsvadCXUqwqA7p0,streaming_20
21,21,2019-03-02T22:26:59.854020,2019-03-02T22:27:00,Tom Kristiaan,Un sourire et une larme (valse),145980,https://open.spotify.com/track/7Ll3Avq4RewMYNeCyi7KsD,streaming_21
22,22,2019-03-02T22:28:59.863576,2019-03-02T22:29:00,Gunnel Boek,Hommage d'amitié,136424,https://open.spotify.com/track/5DezuV0RFcMcgA11UGdGBR,streaming_22
23,23,2019-03-02T22:31:59.847108,2019-03-02T22:32:00,Helmut Schenker,Alba,152892,https://open.spotify.com/track/5eEYSPaVwg4Fe1KCMYunQf,streaming_23
24,24,2019-03-02T22:32:59.887473,2019-03-02T22:33:00,William Cas,Hour of Rest,112527,https://open.spotify.com/track/0sCPbmOcdRcTWVDjHh22id,streaming_24
25,25,2019-03-02T22:37:59.815451,2019-03-02T22:38:00,Johannes Bornlöf,As I Dream,184549,https://open.spotify.com/track/3y3GMygxjeZ8VQDfEoyKh7,streaming_25
26,26,2019-03-02T22:40:59.815890,2019-03-02T22:41:00,Kalen Elmsley,Spheroidal,184110,https://open.spotify.com/track/00PnFrg2QQzPqkeuxGxcz9,streaming_26
27,27,2019-03-02T22:43:59.843090,2019-03-02T22:44:00,Nel Swerts,Un Cadeau,156910,https://open.spotify.com/track/4MOdTvGopWOYi146z6EnGW,streaming_27
28,28,2019-03-02T22:45:59.871498,2019-03-02T22:46:00,Astrid Sky,A Beautiful Break,128502,https://open.spotify.com/track/4xwUUKpKf52tIHZRyyUFKw,streaming_28
29,29,2019-03-02T22:47:59.876560,2019-03-02T22:48:00,Emanuel Fremont,Saying Things,123440,https://open.spotify.com/track/2bjQvSk5T3A2dmnqqeRhzI,streaming_29
30,30,2019-03-02T22:51:59.848256,2019-03-02T22:52:00,Piano Melancolía,Silk,151744,https://open.spotify.com/track/1ShThrvQSVye4uHsz2rMtE,streaming_30
31,31,2019-03-02T22:53:59.873100,2019-03-02T22:54:00,Norman Dück,Reframe,126900,https://open.spotify.com/track/67ksXATAe92UP1mwod4e3s,streaming_31
32,32,2019-03-02T22:55:59.882765,2019-03-02T22:56:00,Armando Bauer,Solace,117235,https://open.spotify.com/track/0c3pAQGKjwHKo9ilC8i8c5,streaming_32
33,33,2019-03-02T22:57:59.881052,2019-03-02T22:58:00,Jacob David,Nowesind,118948,https://open.spotify.com/track/2p5THyuNwpJ9c7ex3TN383,streaming_33
34,34,2019-03-02T22:59:59.872852,2019-03-02T23:00:00,Jørg Sorensen,Träumerei,127148,https://open.spotify.com/track/5vz0Vls8TbtlI58CHQrIpb,streaming_34
35,35,2019-03-02T23:02:59.860015,2019-03-02T23:03:00,Niwa Nova,Compass,139985,https://open.spotify.com/track/7uN2L2nq8gfUBOUfHtSkQX,streaming_35
36,36,2019-03-02T23:06:59.851351,2019-03-02T23:07:00,Alva Brunel,When it drizzles,148649,https://open.spotify.com/track/5YB0FJ63K0g5ZXw0BN4HXF,streaming_36
37,37,2019-03-02T23:08:59.867234,2019-03-02T23:09:00,Cinthya Garcia,Dear Buddy,132766,https://open.spotify.com/track/4XhZgQHy6yNEB5M3NhZXAG,streaming_37
38,38,2019-03-02T23:11:59.820243,2019-03-02T23:12:00,Jane Avril,Although,179757,https://open.spotify.com/track/695BxK7VbbK6M4CRvtR5Sn,streaming_38
39,39,2019-03-02T23:13:59.873081,2019-03-02T23:14:00,Alain Pironi,La Paix Intérieure,126919,https://open.spotify.com/track/7e9rtvEfKg3QkMkZrZtTnW,streaming_39
40,40,2019-03-02T23:15:59.880230,2019-03-02T23:16:00,Andreas Monta,Mind Like Water,119770,https://open.spotify.com/track/4fcdZ4bM6DgVGOs9y13KIk,streaming_40
41,41,2019-03-02T23:17:59.854515,2019-03-02T23:18:00,Anna Landström,To the Rain,145485,https://open.spotify.com/track/025aQi6Ffw676y8m4zLPk7,streaming_41
42,42,2019-03-02T23:21:59.853158,2019-03-02T23:22:00,Carluccio,Adesso,146842,https://open.spotify.com/track/0t0X7v3Qcq7wMviNjWaWDO,streaming_42
43,43,2019-03-02T23:24:59.828395,2019-03-02T23:25:00,Olivia Belli,Prélude,171605,https://open.spotify.com/track/7dOjUz9bTwzuZkoaiqDoxm,streaming_43
44,44,2019-03-02T23:27:59.827341,2019-03-02T23:28:00,Ploxxio,Aufgang der Sonne,172659,https://open.spotify.com/track/4iCLo3ZjF6V1RW4Wz18KMz,streaming_44
45,45,2019-03-02T23:29:59.861406,2019-03-02T23:30:00,Lemos,The New Life,138594,https://open.spotify.com/track/4zCJ4p6S8n6P0vgijJBWHk,streaming_45
46,46,2019-03-02T23:32:59.851563,2019-03-02T23:33:00,Les Rêveries,Coulant,148437,https://open.spotify.com/track/445KHitEvap0tspDZ3C78V,streaming_46
47,47,2019-03-02T23:35:59.894345,2019-03-02T23:36:00,praam,our paths crossing,105655,https://open.spotify.com/track/570NQJSaUxTdYZT8lGwxgZ,streaming_47
48,48,2019-03-02T23:38:59.857403,2019-03-02T23:39:00,Tamara Eden,Horizon,142597,https://open.spotify.com/track/1nQ2WCJTn89CnirpfDHV60,streaming_48
49,49,2019-03-02T23:40:59.860806,2019-03-02T23:41:00,Naia Lambert,Ruhevoll,139194,https://open.spotify.com/track/3a29LVdJdkqOBNDFnbbqJN,streaming_49
50,50,2019-03-02T23:42:59.850029,2019-03-02T23:43:00,Kellen Chase,Meditabundus,149971,https://open.spotify.com/track/5e5tJl04Fp74oHxpsrC7Tk,streaming_50
51,51,2019-03-02T23:46:59.799320,2019-03-02T23:47:00,antinode,vierde moment,200680,https://open.spotify.com/track/1IqWZERE8ZOVtgE3fmekFv,streaming_51
52,52,2019-03-03T19:21:58.176027,2019-03-03T19:22:00,Lex Fridman Podcast,#286 – Oliver Stone: Vladimir Putin and War in Ukraine,1823973,,streaming_52
53,53,2019-03-03T22:19:55.579920,2019-03-03T22:20:00,Lex Fridman Podcast,#286 – Oliver Stone: Vladimir Putin and War in Ukraine,4420080,,streaming_53
54,54,2019-03-03T22:20:59.997132,2019-03-03T22:21:00,Lex Fridman Podcast,"#285 – Glenn Loury: Race, Racism, Identity Politics, and Cancel Culture",2868,,streaming_54
55,55,2019-03-03T22:29:59.510656,2019-03-03T22:30:00,Lex Fridman Podcast,#286 – Oliver Stone: Vladimir Putin and War in Ukraine,489344,,streaming_55
56,56,2019-03-07T02:30:54.715913,2019-03-07T02:31:00,Lex Fridman Podcast,#299 – Demis Hassabis: DeepMind,5284087,,streaming_56
57,57,2019-03-07T14:55:57.454255,2019-03-07T14:56:00,Lex Fridman Podcast,#299 – Demis Hassabis: DeepMind,2545745,,streaming_57
58,58,2019-03-07T15:52:56.634213,2019-03-07T15:53:00,Lex Fridman Podcast,"#300 – Joe Rogan: Comedy, Controversy, Aliens, UFOs, Putin, CIA, and Freedom",3365787,,streaming_58
59,59,2019-03-07T20:25:58.992032,2019-03-07T20:26:00,Lex Fridman Podcast,"#300 – Joe Rogan: Comedy, Controversy, Aliens, UFOs, Putin, CIA, and Freedom",1007968,,streaming_59
60,60,2019-03-10T16:36:58.526016,2019-03-10T16:37:00,Lex Fridman Podcast,"#300 – Joe Rogan: Comedy, Controversy, Aliens, UFOs, Putin, CIA, and Freedom",1473984,,streaming_60
61,61,2019-03-17T15:39:59.999882,2019-03-17T15:40:00,Exit Scam,Part V: The Old Friend,118,,streaming_61
62,62,2019-03-17T15:39:58.337319,2019-03-17T15:40:00,הכותרת,נפילת השמאל הציוני,1662681,,streaming_62
63,63,2019-03-23T22:30:59.998840,2019-03-23T22:31:00,Exit Scam,Part V: The Old Friend,1160,,streaming_63
